Episode,Hit,SR,MSE
632,1.0,8.0,0.009899999999999997
633,1.0,49.0,0.009899999999999997
634,0.0,10.0,0.009899999999999997
635,0.0,9.0,0.009899999999999997
636,1.0,49.0,0.009899999999999997
637,0.0,14.0,0.009899999999999997
638,1.0,48.0,0.009899999999999997
639,0.0,2.0,0.009899999999999997
640,1.0,36.0,0.009899999999999997
641,1.0,49.0,0.009899999999999997
642,1.0,49.0,0.009899999999999997
643,0.0,32.0,0.01959999999999999
644,0.0,5.0,0.009899999999999997
645,1.0,49.0,0.009899999999999997
646,1.0,48.0,0.009899999999999997
647,1.0,49.0,0.009899999999999997
648,0.0,1.0,0.009899999999999997
649,1.0,11.0,0.009899999999999997
650,1.0,49.0,0.009899999999999997
651,1.0,49.0,0.009899999999999997
652,1.0,48.0,0.009899999999999997
653,0.0,19.0,0.009899999999999997
654,1.0,49.0,0.009899999999999997
655,1.0,49.0,0.009899999999999997
656,1.0,49.0,0.009899999999999997
657,1.0,48.0,0.009899999999999997
658,0.0,25.0,0.009899999999999997
659,1.0,49.0,0.009899999999999997
660,1.0,2.0,0.009899999999999997
661,1.0,15.0,0.009899999999999997
662,0.0,25.0,0.009899999999999997
663,1.0,27.0,0.009899999999999997
664,0.0,2.0,0.009899999999999997
665,0.0,49.0,0.009899999999999997
666,1.0,3.0,0.009899999999999997
667,1.0,49.0,0.009899999999999997
668,1.0,49.0,0.009899999999999997
669,1.0,49.0,0.009899999999999997
670,0.0,48.0,0.009899999999999997
671,1.0,48.0,0.009899999999999997
672,0.0,24.0,0.009899999999999997
673,1.0,49.0,0.009899999999999997
674,1.0,49.0,0.009899999999999997
675,1.0,49.0,0.009899999999999997
676,0.0,48.0,0.009899999999999997
677,1.0,48.0,0.009899999999999997
678,1.0,49.0,0.009899999999999997
679,1.0,49.0,0.009899999999999997
680,1.0,49.0,0.009899999999999997
681,1.0,49.0,0.009899999999999997
682,1.0,49.0,0.009899999999999997
683,1.0,49.0,0.009899999999999997
684,1.0,48.0,0.009899999999999997
685,1.0,49.0,0.009899999999999997
686,1.0,49.0,0.009899999999999997
687,0.0,38.0,0.009899999999999997
688,1.0,49.0,0.009899999999999997
689,0.0,15.0,0.009899999999999997
690,0.0,49.0,0.009899999999999997
691,1.0,49.0,0.009899999999999997
692,0.0,17.0,0.009899999999999997
693,1.0,49.0,0.009899999999999997
694,1.0,31.0,0.009899999999999997
695,1.0,49.0,0.009899999999999997
696,1.0,49.0,0.009899999999999997
697,0.0,29.0,0.009899999999999997
698,0.0,48.0,0.009899999999999997
699,1.0,23.0,0.009899999999999997
700,1.0,49.0,0.009899999999999997
701,1.0,49.0,0.009899999999999997
702,1.0,6.0,0.009899999999999997
703,1.0,49.0,0.009899999999999997
704,1.0,30.0,0.009899999999999997
705,0.0,13.0,0.009899999999999997
706,1.0,49.0,0.009899999999999997
707,0.0,34.0,0.009899999999999997
708,0.0,24.0,0.009899999999999997
709,1.0,47.0,0.009899999999999997
710,1.0,49.0,0.009899999999999997
711,1.0,49.0,0.009899999999999997
712,1.0,49.0,0.009899999999999997
713,1.0,49.0,0.009899999999999997
714,1.0,49.0,0.009899999999999997
715,1.0,49.0,0.009899999999999997
716,1.0,49.0,0.009899999999999997
717,1.0,49.0,0.009899999999999997
718,1.0,49.0,0.009899999999999997
719,0.0,8.0,0.009899999999999997
720,0.0,49.0,0.009899999999999997
721,1.0,42.0,0.009899999999999997
722,0.0,36.0,0.009899999999999997
723,1.0,49.0,0.009899999999999997
724,1.0,49.0,0.009899999999999997
725,0.0,48.0,0.009899999999999997
726,0.0,47.0,0.009899999999999997
727,1.0,18.0,0.009899999999999997
728,1.0,48.0,0.009899999999999997
729,1.0,49.0,0.009899999999999997
730,1.0,49.0,0.009899999999999997
731,0.0,48.0,0.009899999999999997
732,0.0,18.0,0.009899999999999997
733,0.0,15.0,0.009899999999999997
734,1.0,35.0,0.009899999999999997
735,1.0,49.0,0.009899999999999997
736,0.0,48.0,0.009899999999999997
737,1.0,49.0,0.009899999999999997
738,1.0,49.0,0.009899999999999997
739,0.0,24.0,0.009899999999999997
740,1.0,49.0,0.009899999999999997
741,1.0,49.0,0.009899999999999997
742,1.0,49.0,0.009899999999999997
743,1.0,32.0,0.009899999999999997
744,1.0,49.0,0.009899999999999997
745,1.0,48.0,0.009899999999999997
746,1.0,49.0,0.009899999999999997
747,0.0,9.0,0.009899999999999997
748,1.0,49.0,0.009899999999999997
749,1.0,49.0,0.009899999999999997
750,0.0,48.0,0.009899999999999997
751,0.0,49.0,0.009899999999999997
752,1.0,11.0,0.009899999999999997
753,0.0,49.0,0.009899999999999997
754,1.0,49.0,0.009899999999999997
755,1.0,49.0,0.009899999999999997
756,1.0,49.0,0.009899999999999997
757,0.0,17.0,0.009899999999999997
758,1.0,27.0,0.009899999999999997
759,1.0,49.0,0.009899999999999997
760,1.0,45.0,0.009899999999999997
761,0.0,17.0,0.009899999999999997
762,1.0,49.0,0.009899999999999997
763,1.0,48.0,0.009899999999999997
764,0.0,8.0,0.009899999999999997
765,1.0,49.0,0.009899999999999997
766,1.0,49.0,0.009899999999999997
767,1.0,49.0,0.009899999999999997
768,1.0,49.0,0.009899999999999997
769,1.0,49.0,0.01959999999999999
770,0.0,21.0,0.009899999999999997
771,1.0,49.0,0.009899999999999997
772,0.0,30.0,0.009899999999999997
773,1.0,48.0,0.009899999999999997
774,0.0,48.0,0.009899999999999997
775,0.0,33.0,0.009899999999999997
776,1.0,45.0,0.009899999999999997
777,1.0,49.0,0.009899999999999997
778,1.0,49.0,0.009899999999999997
779,1.0,49.0,0.009899999999999997
780,1.0,49.0,0.009899999999999997
781,0.0,-3.0,0.009899999999999997
782,1.0,38.0,0.009899999999999997
783,1.0,49.0,0.009899999999999997
784,1.0,49.0,0.009899999999999997
785,1.0,49.0,0.009899999999999997
786,1.0,49.0,0.009899999999999997
787,1.0,48.0,0.009899999999999997
788,0.0,20.0,0.009899999999999997
789,1.0,49.0,0.009899999999999997
